Nome,Livro
Antonio Geraldo Fiqueiredo Ferreira,Siameses
Alexei Bueno,O sono dos humildes
Cristhiano Motta Aguiar,Gótico Nordestino
"Emanuel França de Britto, Maurício Santana Dias e Pedro Falleiros Heise","Inferno, de Dante Alighieri"
Edson Iura,Cesto de Caquis: notas sobre haicai
Simone Saueressig,O jovem Arsène Lupin e a dança macabra
Silvia Hunold Lara,Palmares & Cucaú: O Aprendizado da Dominação
Rosana Fernandes Calixto Rios,Na minha casa tem um Lestronfo
João Anzanello Carrascoza,Tramas de meninos
Maurício de Arruda Mendonça,Kafka e Schopenhauer: zonas de vizinhança
Wilma Peres Costa,Cidadãos e contribuintes: estudos de história fiscal
Volnei Canônica,Tanta chuva no céu
Fábio Brust,Ex Libris
Rodrigo Luiz P. Vianna,Textos para lembrar de ir à praia
Marcelo Labes,Três porcos
Roberto Zular e Álvaro Faleiros,"Feitiços [Charmes], de Paul Valéry"
Jarid Arraes,Redemoinho em dia quente
João Adolfo Hansen; Cilaine Alves Cunha e Mayra Laudanna (orgs.),Agudezas seiscentistas e outros ensaios
Eduardo Matos de Alencar,De quem é o comando?: O desafio de governar uma prisão no Brasil
Adriana Falcão,Lá dentro tem coisa
Susana Ramos Ventura,Um lençol de infinitos fios
Maria Fernanda Elias Maglio,179.Resistência
Menalton Braff,Além do Rio dos Sinos
Júlio Castañon Guimarães,"As flores do mal, de Charles Baudelaire"
Paulo Fernando Henriques Britto ,Nenhum mistério 
Luís Gonçales Bueno de Camargo,Paradeiro
Elvira Vigna,Kafkianas
José Miguel Soares Wisnik ,Maquinação do mundo: Drummond e a mineração
Heloisa Maria Murgel Starling ,Ser republicano no Brasil Colônia: a história de uma traição esquecida 
Rosa Maria Freire d'Aguiar Furtado,Bússola (Mathias Enard)
Felipe Mello Cavalcante ,Clarice
Roger Mello ,Enreduana 
Penélope Alessandra Martins ,Minha vida não é cor-de-rosa 
 Francesca  Alessandra Ferreira Angiolillo,Etiópia
Evandro Affonso Ferreira,Nunca houve tanto fim como agora
Gustavo de Britto Freire Pacheco,Alguns humanos
Madalena Natsuko Hashimoto Cordaro,A erótica japonesa na pintura & na escritura dos séculos XVII a XIX
Lilia Moritz Schwarcz,Lima Barreto: triste visionário
Maurício Mendonça Cardozo,De minha vida: poesia e verdade” (Johann Wolfgang von Goethe)
"Gabriela Marques de Castro, Gustavo Marchetti e Paulo André Chagas (Bloco Gráfico)",O nome do medo
Lúcia Kioko Hiratuka,Chão de peixes
Lourenço Paulo da Silva Cazarré,Os filhos do deserto combatem na solidão
Sérgio Medeiros,A idolatria poética ou a febre de imagens
J. P. Cuenca,Descobri que estava morto
Marcelo Moutinho,Ferrugem
Cláudia Maria de Vasconcellos,"Samuel Beckett e seus duplos: espelhos, abismos e outras vertigens literárias"
Angela de Castro Gomes e Patricia Hansen,Intelectuais mediadores: práticas culturais e ação política
Rogério Bettoni,"Jaqueta Branca ou O mundo em um navio de guerra, de Herman Melville"
"Gabriela Marques de Castro, Gustavo Marchetti e Paulo André Chagas (Bloco Gráfico)","Anri Sala: o momento presente, Heloisa Spada (org.)"
Eva Furnari,Drufs
João Anzanello Carrascoza,Tempo justo
Adélia Prado,Poesia reunida
Sheyla Smanioto,Desesterro
Marta Barcellos,Antes que seque
Murilo Marcondes de Moura,O mundo sitiado: a poesia brasileira e a segunda guerra mundial
Douglas Attila Marcelino,"O corpo da Nova República: funerais presidenciais, representação histórica e imaginário político"
José Roberto Andrade Féres (Zéfere),O sumiço
Raquel Matsushita,Coleção Pedro fugiu de casa
Eliandro Rocha,Roupa de Brincar
Érica Bombardi,Canto do Uirapuru
João Filho,Dimensão Necessária
Tércia Montenegro,Turismo para Cegos
Carol Rodrigues,Sem vista pro mar
Gustavo Bernardo,A ficção de Deus
Marcelo Godoy,A casa da vovó
Guilherme Gontijo Flores,Elegias de Sexto Propércio
Frederico Tizzot,A mão na pena
Marcelo Lelis,Hortência das Tranças
Mario teixeira ,A linha negra
Samarone Lima de Oliveira,O Aquário Desenterrado
Marcelino Freire,Nossos Ossos
Bernardo Kucinski,Você Vai Voltar Pra Mim
Luiz Costa Lima,Frestas: A Teorização em um País Periférico
Milton Ohata,Eduardo Coutinho
Marcelo Backes,"Michael Kohlhaas, de Heinrich von Kleist"
Flávia Castanheira,Esopo: Fábulas Completasde Esopo
Arthur Rosenblat Nestrovski,Pelo Nariz
Daniella Bauer,Morada das Lembranças
Armando Freitas Filho,Dever
Veronica Stigger,Opsianie Swiata
Cintia Moscovich,Essa Coisa Brilhante que é a Chuva
Paulo Henriques Brito,A Tradução Literária
Joel Birman,O Sujeito na Contemporaneidade
Denise Bottmann,"Mrs. Dalloway, deVirginia Woolf"
Flávia Castanheira,Contos Maravilhosos Infantis e Domésticos dos Irmãos Grimm
Leo Cunha,Haicais para Filhos e Pais
Marcos Bagno,Marcéu
Ana Martins Marques,Da Arte das Armadilhas
Paulo Scott,Habitante irreal
Marcílio França Castro,Breve Cartografia de Lugares Sem Nenhum Interesse
,
Cleonice Berardinelli,Gil Vicente: Autos
Francisco Degani,"Os Noivos, deAlessandro Manzoni"
Germana Gonçalves de Araújo,Bonita Maria do Capitão
Favish,"A Deusa, O Herói, O Centauro e a Justa Medida"
Marco Túlio Costa,Árvore do Medo
Daniel Lima,Poemas
Alberto Mussa,O senhor do lado esquerdo
Sérgio Sant'Anna,O livro de Praga
Charles Kiefer,A póetica do conto - De Poe a Borges
Marisa Midore Deaecto,O império dos livros: instituições e práticas de leitura na São Paulo oitocentista
Luís Carlos Cabral,"Malá Strana: vestígios de Praga, e Jan Neruda"
Gabriela Castro,"Apreensões, de Bob Wolfenson"
Nelson Cruz,Alice no telhado
Adélia Prado,A duração do dia
Joca Reiners Terron,Do fundo do poço se vê a lua
Carlos Henrique Schroeder,As certezas e as palavras
Antonio Arnoni Prado,"Itinerário de uma falsa vanguarda: os dissidentes, a Semana de 22 e o Integralismo"
Manuela Carneiro da Cunha,Cultura com aspas
Rubens Figueiredo,"Ressurreição, de Liev Tolstói"
 Raul Loureiro e Cláudia Warrak,Roupa de artista – O vestuário na obra de arte
Jean-Claude Ramos Alphen,Um sujeito sem qualidades
Marina Colasanti,Passageira em trânsito
Raimundo Carrero,Minha alma é irmã de Deus
Beatriz Bracher,Meu amor
Luiz Costa Lima,"O controle do imaginário & A afirmação do romance – Dom Quixote, As relações perigosas, Moll Flanders, Tristam Shandy"
Ronaldo Vainfas e Lúcia Bastos Pereira das Neves,Dicionário do Brasil Joanino
Erick Ramalho,"Poemata – Poemas em latim e em grego, de John Milton"
Maria Carolina Sampaio,Lina por escrito – textos escolhidos de Lina Bo Bardi
 Bartolomeu Campos de Queirós,Tempo de voo
Roberto Piva,Estranhos sinais de Saturno
 Daniel Galera,Cordilheira
Dalton Trevisan,O maníaco do olho verde
Walnice Nogueira Galvão,Mínima mímica – Ensaios sobre Guimarães Rosa
Carlos Fico,O grande irmão – Da operação Brother Sam aos anos de chumbo
Maurício Santana Dias,40 novelas de Pirandello
Kiko Farkas e Elisa Cardoso,Antigos e soltos – Poemas e prosas da pasta rosa
Rodrigo Lacerda,O fazedor de velhos
Paulo Henriques Britto,Tarde
Idalina Azevedo da Silva,O tempo físico
Nelson de Oliveira,Ódio sustenido
Alberto Pucheu,"Pelo colorido, para além do cinzento (a literatura e seus entornos interventivos)"
Maria F. Pinheiro Coelho,José Genoíno: escolhas políticas
Mauro Gama,Michelangelo – 50 poemas
Elaine Ramos Coimbra,Coleção Moda Brasileira
Ignácio Loyola Brandão,O menino que vendia palavras
Marco Lucchesi,Meridiano celeste & Bestiário
Alberto Mussa,O movimento pendular
Sonia Coutinho,Ovelha negra e amiga loura
Kathrin H. Rosenfield,"Desenveredando Rosa, a obra de J. G. Rosa e outros ensaios roseanos"
Maria Luiza Penna,Luiz Camillo: perfil intelectual
Aurora Fornoni Bernardini,"Indícios flutuantes (poemas), de Marina Tsvetaieva"
Bia Lessa e Dora Levy,Grande sertão: veredas
Renato Rezende,Ímpar
Sílvio Fiorani,Investigação sobre Arial
Mário Sabino,O antinarciso
Silviano Santiago,O cosmopolitano pobre
Angélica Madeira,Livro dos náufragos
Mamede Mustafá Jarouche,O livro das mil e uma noites
"C.Fontana, M.Masuchi e C.Silvestrini",O livro no Brasil
Augusto Luís Browne de Campos,Não Poemas
