Ano,Categoria,Nome do Avaliador,Valor do Avaliador
2022,Romance,Ana Carolina Romero ,"5.000,00"
2022,Romance,Carlos Henrique Schoroeder,"5.000,00"
2022,Romance,Karleno Márcio Santos Oliveira,"5.000,00"
2022,Poesia ,Cleber Ranieri Ribas de Almeida,"5.000,00"
2022,Poesia ,Fábio Vinicius Moreno Gonçalves,"5.000,00"
2022,Poesia ,Erika Nogueira Vieira,"5.000,00"
2022,Conto,Deonísio da Silva,"5.000,00"
2022,Conto,Paulo Vinicius Cajazeira Cantarelli de Carvalho ,"5.000,00"
2022,Conto,Igor Tadeu Florêncio Barbosa,"5.000,00"
2022,Tradução,Elton John de Souza Mesquita ,"5.000,00"
2022,Tradução,José Francisco Hillal Tavares de Junqueira Botelho ,"5.000,00"
2022,Tradução,Renato José de Moraes,"5.000,00"
2022,Ensaio Literário,Alexandre Sugamosto e Silva ,"5.000,00"
2022,Ensaio Literário,Rodrigo Scalamandre Duarte Garcia ,"5.000,00"
2022,Ensaio Literário,Kelvin dos Santos Falcão Klein,"5.000,00"
2022,Literatura Juvenil,Ana Paula Cecato de Oliveira ,"5.000,00"
2022,Literatura Juvenil,Carla Cunha Rodrigues ,"5.000,00"
2022,Literatura Juvenil, Mateus Mota Lima de Oliveira,"5.000,00"
2022,Ensaio Social,Alexandre Bacelar Marques ,"5.000,00"
2022,Ensaio Social,"
Diogo Chiuso 
","5.000,00"
2022,Ensaio Social,Francisco Octavio de Oliveira Escorsim,"5.000,00"
2022,Literatura Infantil ,Maria Inês Coimbra ,"5.000,00"
2022,Literatura Infantil ,Tércia Montenegro Lemos ,"5.000,00"
2022,Literatura Infantil ,Vanete Santana-Dezmann,"5.000,00"
2021,Conto,Eduardo Cesar Maia,"5.000,00"
2021,Conto, Jayme Soares Chaves ,"5.000,00"
2021,Conto,Ronald Silva Robson,"5.000,00"
2021,Ensaio Literário,Biagio D'Angelo ,"5.000,00"
2021,Ensaio Literário,Júlio França,"5.000,00"
2021,Ensaio Literário, Rodrigo Xavier,"5.000,00"
2021,Ensaio Social,Eduardo de Alencar Abreu Matos ,"5.000,00"
2021,Ensaio Social,Gabriel Fernandes Rocha Guimarães ,"5.000,00"
2021,Ensaio Social,Remo Mannarino Filho,"5.000,00"
2021,Literatura Infantil ,Amanda Fernandes Teixeira Cordeiro,"5.000,00"
2021,Literatura Infantil , Irma Galhardo ,"5.000,00"
2021,Literatura Infantil ,Marília Papaléo Fichtner,"5.000,00"
2021,Literatura Juvenil,Ana Cláudia da Silva ,"5.000,00"
2021,Literatura Juvenil,Henrique Cláudio dos Reis ,"5.000,00"
2021,Literatura Juvenil,José Nicolau Gregorin Filho,"5.000,00"
2021,Poesia ,Maria José Cardoso Lemos (Masé Lemos),"5.000,00"
2021,Poesia , Mônica Fagundes ,"5.000,00"
2021,Poesia ,Raquel Madanelo,"5.000,00"
2021,Romance,Daniel Marinho Laks ,"5.000,00"
2021,Romance,Fernando Maués ,"5.000,00"
2021,Romance,Giselle Larizzatti Agazzi,"5.000,00"
2021,Tradução,Dirceu Villa ,"5.000,00"
2021,Tradução,Leonardo Antunes ,"5.000,00"
2021,Tradução,John Milton,"5.000,00"
2020,Conto,"Ana Paula Maia
","5.000,00"
2020,Conto,Erika Nogueira Vieira,"5.000,00"
2020,Conto,Fabiane Secches,"5.000,00"
2020,Ensaio Literário,Eduardo César Maia Ferreira Filho,"5.000,00"
2020,Ensaio Literário,Guiomar de Grammont ,"5.000,00"
2020,Ensaio Literário,Sandra Guardini Vasconcelos.,"5.000,00"
2020,Ensaio Social,César Claudio Gordon Junior,"5.000,00"
2020,Ensaio Social,Gabriela Nunes Ferreira,"5.000,00"
2020,Ensaio Social,Ranieri Ribas de Almeida,"5.000,00"
2020,Literatura Infantil ,Ana Maria Machado,"5.000,00"
2020,Literatura Infantil ,Elizabeth D'Angelo Serra,"5.000,00"
2020,Literatura Infantil ,Graça Lima,"5.000,00"
2020,Literatura Juvenil,Ana Paula Cecato de Oliveira ,"5.000,00"
2020,Literatura Juvenil,Katia Chiaradia,"5.000,00"
2020,Literatura Juvenil,Simone Monteiro de Araújo,"5.000,00"
2020,Poesia ,Érico Nogueira,"5.000,00"
2020,Poesia ,Hugo Langone,"5.000,00"
2020,Poesia ,Nívia Maria Vasconcellos,"5.000,00"
2020,Romance,Antonio Fernando de Souza Borges,"5.000,00"
2020,Romance,Karleno Márcio Santos Oliveira,"5.000,00"
2020,Romance,Miguel Sanches Neto,"5.000,00"
2020,Tradução,"Lawrence Flores Pereira, Maurício Santana Dias, Rodrigo Garcia Lopes","5.000,00"
2019,Poesia ,Leonardo Fróes,"5.000,00"
2019,Poesia ,Maria José Cardoso Lemos,"5.000,00"
2019,Poesia ,Paula Glenadel.,"5.000,00"
2019,Romance,Regina Dalcastagnè,"5.000,00"
2019,Romance,Socorro Acioli,"5.000,00"
2019,Romance, Vera Lucia Follain. ,"5.000,00"
2019,Conto,"Cristhiano Motta Aguiar
","5.000,00"
2019,Conto,Evelina de Carvalho Sá Hoisel,"5.000,00"
2019,Conto,Luis Augusto Fischer.,"5.000,00"
2019,Ensaio Literário,Carlos Eduardo Berriel,"5.000,00"
2019,Ensaio Literário,Eduardo Jardim de Moraes,"5.000,00"
2019,Ensaio Literário,Wander Melo Miranda.,"5.000,00"
2019,Ensaio Social,Cibele Barbosa da Silva Andrade,"5.000,00"
2019,Ensaio Social,Helena Maria Bomeny Garchet,"5.000,00"
2019,Ensaio Social,Maria Elisa Noronha de Sá.,"5.000,00"
2019,Tradução,Dirce Waltrick do Amarante ,"5.000,00"
2019,Tradução,Marlova Gonsales Aseff,"5.000,00"
2019,Tradução,Simone Homem de Mello.,"5.000,00"
2019,Projeto Gráfico,Aline Haluch,"5.000,00"
2019,Projeto Gráfico,Heloisa Faria,"5.000,00"
2019,Projeto Gráfico,Rui de Oliveira,"5.000,00"
2019,Literatura Infantil ,Beatriz dos Reis de Castro Barros Silva,"5.000,00"
2019,Literatura Infantil ,Camila Werner,"5.000,00"
2019,Literatura Infantil ,Renata Nakano.,"5.000,00"
2019,Literatura Juvenil,Adriana Lucena,"5.000,00"
2019,Literatura Juvenil,Laura Spengler,"5.000,00"
2019,Literatura Juvenil,Tâmara Abreu,"5.000,00"
2018,Poesia ,José Thomaz Brum,"5.000,00"
2018,Poesia ,Vagner Camilo,"5.000,00"
2018,Poesia ,Paulo Franchetti,"5.000,00"
2018,Romance,Alcir Pecora,"5.000,00"
2018,Romance,Adauri Silva Bastos,"5.000,00"
2018,Romance,Eliane Robert Moraes,"5.000,00"
2018,Conto,Carlos Henrique Schroeder,"5.000,00"
2018,Conto, Ítalo Moriconi ,"5.000,00"
2018,Conto,Francisco Foot Hardman,"5.000,00"
2018,Ensaio Literário,Marcello Moreira,"5.000,00"
2018,Ensaio Literário,Hélio de Seixas Guimarães,"5.000,00"
2018,Ensaio Literário,Eneida Maria Souza,"5.000,00"
2018,Ensaio Social,Angela Alonso,"5.000,00"
2018,Ensaio Social,Lucia Lippi ,"5.000,00"
2018,Ensaio Social, Giovana Xavier,"5.000,00"
2018,Tradução,Maurício Santana Dias,"5.000,00"
2018,Tradução,José Roberto O’Shea,"5.000,00"
2018,Tradução, Ivone Benedetti,"5.000,00"
2018,Projeto Gráfico,Haron Cohen,"5.000,00"
2018,Projeto Gráfico,Suzane Queiroz,"5.000,00"
2018,Projeto Gráfico,Ana Dias,"5.000,00"
2018,Literatura Infantil ,Márcia Cavalcante,"5.000,00"
2018,Literatura Infantil ,Cecilia Bassarani,"5.000,00"
2018,Literatura Infantil ,Nilma Gonçalves Lacerda,"5.000,00"
2018,Literatura Juvenil,Tânia Piacentini,"5.000,00"
2018,Literatura Juvenil,Beto Silva,"5.000,00"
2018,Literatura Juvenil, Anna Rennhack ,"5.000,00"
2017,Poesia ,Manoel Ricardo de Lima,"5.000,00"
2017,Poesia ,Ricardo Aleixo,"5.000,00"
2017,Poesia ,Sérgio Martagão Gesteira,"5.000,00"
2017,Romance,Beatriz Resende,"5.000,00"
2017,Romance,José Luis Jobim,"5.000,00"
2017,Romance,Márcio Souza,"5.000,00"
2017,Conto,Beatriz Jaguaribe,"5.000,00"
2017,Conto,Flávia Schlee Eyler,"5.000,00"
2017,Conto,Rogério Pereira,"5.000,00"
2017,Ensaio Literário,Ivan Marques,"5.000,00"
2017,Ensaio Literário,Luiz Costa Lima,"5.000,00"
2017,Ensaio Literário, Maria Lúcia Faria,"5.000,00"
2017,Ensaio Social,Antonio Paulo Rezende,"5.000,00"
2017,Ensaio Social,Marcos Veneu,"5.000,00"
2017,Ensaio Social,Ronaldo Vainfas,"5.000,00"
2017,Tradução,Heloisa Jahn,"5.000,00"
2017,Tradução, Lawrence Flores Pereira,"5.000,00"
2017,Tradução,Paulo Werneck,"5.000,00"
2017,Projeto Gráfico,Evelyn Grumach,"5.000,00"
2017,Projeto Gráfico,Francisco Homem de Melo,"5.000,00"
2017,Projeto Gráfico, Washington Lessa,"5.000,00"
2017,Literatura Infantil ,Carolina Sanches,"5.000,00"
2017,Literatura Infantil ,Roger Mello,"5.000,00"
2017,Literatura Infantil ,Rona Hanning,"5.000,00"
2017,Literatura Juvenil,Gabriela Gibrail,"5.000,00"
2017,Literatura Juvenil,Henrique Rodrigues,"5.000,00"
2017,Literatura Juvenil,Patrícia Lacerda,"5.000,00"
2016,Poesia ,Angélica Freitas,"5.000,00"
2016,Poesia ,Heloisa Buarque de Holanda,"5.000,00"
2016,Poesia ,Josely Vianna,"5.000,00"
2016,Romance,Luiz Antônio de Assis Brasil,"5.000,00"
2016,Romance,Rodrigo Lacerda,"5.000,00"
