LIVRO,ANO,EDITORA
Siameses,2022,Kotter
O sono dos humildes,2022,Patuá
Gótico Nordestino,2022,Companhia das Letras
"Inferno, de Dante Alighieri",2022,Companhia das Letras
Cesto de Caquis: notas sobre haicai,2022,Telucazu Edições
O jovem Arsène Lupin e a dança macabra,2022,Avec Editora
Palmares & Cucaú: O Aprendizado da Dominação,2022,EDUSP
Na minha casa tem um Lestronfo,2022,Elo Editora
Tramas de meninos,2021,Companhia das Letras
Kafka e Schopenhauer: zonas de vizinhança,2021,EDUEL
Cidadãos e contribuintes: estudos de história fiscal,2021,Alameda Casa Editorial
Tanta chuva no céu,2021,Editora do Brasil
Ex Libris,2021,Avec Editora
Textos para lembrar de ir à praia,2021,Reformatório
Três porcos,2021,Caiaponte Edições
"Feitiços [Charmes], de Paul Valéry",2021,Iluminuras
Redemoinho em dia quente,2020,Alfaguara
Agudezas seiscentistas e outros ensaios,2020,EDUSP
De quem é o comando?: O desafio de governar uma prisão no Brasil,2020,Record
Lá dentro tem coisa,2020,Salamandra
Um lençol de infinitos fios,2020,Gaivota
179.Resistência,2020,Patuá
Além do Rio dos Sinos,2020,Reformatório
"As flores do mal, de Charles Baudelaire",2020,Penguin Classics/Companhia das Letras
Nenhum mistério ,2019,Companhia das Letras
Paradeiro,2019,Ateliê Editorial
Kafkianas,2019,Todavia
Maquinação do mundo: Drummond e a mineração,2019,Companhia das Letras
Ser republicano no Brasil Colônia: a história de uma traição esquecida ,2019,Companhia das Letras
Bússola (Mathias Enard),2019,Todavia
Clarice,2019,Global
Enreduana ,2019,Companhia das Letras
Minha vida não é cor-de-rosa ,2019,Editora do Brasil
Etiópia,2018,Etiópia
Nunca houve tanto fim como agora,2018,Record
Alguns humanos,2018,Edições Tinta-da-China
A erótica japonesa na pintura & na escritura dos séculos XVII a XIX,2018,EDUSP
Lima Barreto: triste visionário,2018,Companhia das Letras
De minha vida: poesia e verdade” (Johann Wolfgang von Goethe),2018,UNESP
O nome do medo,2018,Museu de Arte do Rio – Instituto Odeon
Chão de peixes,2018,Chão de peixes
Os filhos do deserto combatem na solidão,2018,CEPE
A idolatria poética ou a febre de imagens,2017,Iluminuras
Descobri que estava morto,2017,Tusquets Editores
Ferrugem,2017,Record
"Samuel Beckett e seus duplos: espelhos, abismos e outras vertigens literárias",2017,Iluminuras
Intelectuais mediadores: práticas culturais e ação política,2017,Civilização Brasileira
"Jaqueta Branca ou O mundo em um navio de guerra, de Herman Melville",2017,Carambaia
"Anri Sala: o momento presente, Heloisa Spada (org.)",2017,Instituto Moreira Salles
Drufs,2017,Moderna
Tempo justo,2017,Edições SM
Poesia reunida,2016,Record
Desesterro,2016,Record
Antes que seque,2016,Record
O mundo sitiado: a poesia brasileira e a segunda guerra mundial,2016,Editora 34
"O corpo da Nova República: funerais presidenciais, representação histórica e imaginário político",2016,FGV
O sumiço,2016,Autêntica
Coleção Pedro fugiu de casa,2016,Edições de Janeiro
Roupa de Brincar,2016,Pulo do Gato
Canto do Uirapuru,2016,Escrita Fina Edições
Dimensão Necessária,2015,Mondrongo
Turismo para Cegos,2015,Cia das Letras
Sem vista pro mar,2015,Edith
A ficção de Deus,2015,Annablume
A casa da vovó,2015,Alameda
Elegias de Sexto Propércio,2015,Autêntica
A mão na pena,2015,Arte e Letra
Hortência das Tranças,2015,Abacate
A linha negra,2015,Scipione
O Aquário Desenterrado,2014,Confraria do Vento Editora
Nossos Ossos,2014,Record
Você Vai Voltar Pra Mim,2014,Cosac Naify
Frestas: A Teorização em um País Periférico,2014,Contraponto e PUC Rio
Eduardo Coutinho,2014,Cosac Naify
"Michael Kohlhaas, de Heinrich von Kleist",2014,Civilização Brasileira
Esopo: Fábulas Completasde Esopo,2014,Cosac Naify
Pelo Nariz,2014,Cosac Naify
Morada das Lembranças,2014, Biruta
Dever,2013,Companhia das Letras
Opsianie Swiata,2013,Cosac Naify
Essa Coisa Brilhante que é a Chuva,2013,Record
A Tradução Literária,2013,Civilização Brasileira
O Sujeito na Contemporaneidade,2013,Civilização Brasileira
"Mrs. Dalloway, deVirginia Woolf",2013, L&PM Editores
Contos Maravilhosos Infantis e Domésticos dos Irmãos Grimm,2013,Cosac Naify
Haicais para Filhos e Pais,2013,Record
Marcéu,2013,Editora Positivo
Da Arte das Armadilhas,2012,Editora Companhia das Letras
Habitante irreal,2012,Editora Objetiva
Breve Cartografia de Lugares Sem Nenhum Interesse,2012,Editora 7 Letras
,2012,
Gil Vicente: Autos,2012,Editora Casa da Palavra
"Os Noivos, deAlessandro Manzoni",2012,Editora Nova Alexandria
Bonita Maria do Capitão,2012,Editora da Universidade do Estado da Bahia - EDUNEB
"A Deusa, O Herói, O Centauro e a Justa Medida",2012,Editora Livre Galeria
Árvore do Medo,2012,Editora Formato.
Poemas,2011,Companhia Editora de Pernambuco
O senhor do lado esquerdo,2011,Record
O livro de Praga,2011,Companhia das Letras
A póetica do conto - De Poe a Borges,2011,Leya
O império dos livros: instituições e práticas de leitura na São Paulo oitocentista,2011,Edusp
"Malá Strana: vestígios de Praga, e Jan Neruda",2011,Record
"Apreensões, de Bob Wolfenson",2011,Cosac Naify
Alice no telhado,2011,Comboio de Corda/SM
A duração do dia,2010,Record
Do fundo do poço se vê a lua,2010,Companhia das Letras
As certezas e as palavras,2010,Editora da Casa
"Itinerário de uma falsa vanguarda: os dissidentes, a Semana de 22 e o Integralismo",2010,Editora 34
Cultura com aspas,2010,Cosac Naify
"Ressurreição, de Liev Tolstói",2010,Cosac Naify
Roupa de artista – O vestuário na obra de arte,2010,Imprensa Oficial de SP e Edusp
Um sujeito sem qualidades,2010,Scipione
Passageira em trânsito,2009,Record
Minha alma é irmã de Deus,2009,Record
Meu amor,2009,Editora 34
"O controle do imaginário & A afirmação do romance – Dom Quixote, As relações perigosas, Moll Flanders, Tristam Shandy",2009,Companhia das Letras
Dicionário do Brasil Joanino,2009,Objetiva
"Poemata – Poemas em latim e em grego, de John Milton",2009,Tessitura
Lina por escrito – textos escolhidos de Lina Bo Bardi,2009,Cosac Naify
Tempo de voo,2009,Comboio de Corda
Estranhos sinais de Saturno,2008,Globo
Cordilheira,2008,Companhia das Letras
O maníaco do olho verde,2008,Record
Mínima mímica – Ensaios sobre Guimarães Rosa,2008,Companhia das Letras
O grande irmão – Da operação Brother Sam aos anos de chumbo,2008,Civilização Brasileira
40 novelas de Pirandello,2008,Companhia das Letras
Antigos e soltos – Poemas e prosas da pasta rosa,2008,Instituto Moreira Salles
O fazedor de velhos,2008,Cosac Naify
Tarde,2007,Companhia das Letras
O tempo físico,2007,Scortecci
Ódio sustenido,2007,Língua Geral
"Pelo colorido, para além do cinzento (a literatura e seus entornos interventivos)",2007,Azougue Editorial
José Genoíno: escolhas políticas,2007,Centauro
Michelangelo – 50 poemas,2007,Ateliê Editorial
Coleção Moda Brasileira,2007,Cosac Naify
O menino que vendia palavras,2007,Objetiva
Meridiano celeste & Bestiário,2006,Record
O movimento pendular,2006,Record
Ovelha negra e amiga loura,2006,7letras
"Desenveredando Rosa, a obra de J. G. Rosa e outros ensaios roseanos",2006,Topbooks
Luiz Camillo: perfil intelectual,2006,Editora UFMG
"Indícios flutuantes (poemas), de Marina Tsvetaieva",2006,Martins Fontes
Grande sertão: veredas,2006,Nova Fronteira
Ímpar,2005,Lamparina
Investigação sobre Arial,2005,Girafa
O antinarciso,2005,Record
O cosmopolitano pobre,2005,Rocco
Livro dos náufragos,2005,Editora UnB
O livro das mil e uma noites,2005,Globo
O livro no Brasil,2005,Edusp
Não Poemas,2004,Perspectiva
,2003,
