Ano Premiação,Livro,Categoria,Valor da Premiação
2022,Siameses,Romance,"30.000,00"
2022,O sono dos humildes,Poesia ,"30.000,00"
2022,Gótico Nordestino,Conto,"30.000,00"
2022,"Inferno, de Dante Alighieri",Tradução,"30.000,00"
2022,Cesto de Caquis: notas sobre haicai,Ensaio Literário,"30.000,00"
2022,O jovem Arsène Lupin e a dança macabra,Literatura Juvenil,"30.000,00"
2022,Palmares & Cucaú: O Aprendizado da Dominação,Ensaio Social,"30.000,00"
2022,Na minha casa tem um Lestronfo,Literatura Infantil ,"30.000,00"
2021,Tramas de meninos,Conto,"30.000,00"
2021,Kafka e Schopenhauer: zonas de vizinhança,Ensaio Literário,"30.000,00"
2021,Cidadãos e contribuintes: estudos de história fiscal,Ensaio Social,"30.000,00"
2021,Tanta chuva no céu,Literatura Infantil ,"30.000,00"
2021,Ex Libris,Literatura Juvenil,"30.000,00"
2021,Textos para lembrar de ir à praia,Poesia ,"30.000,00"
2021,Três porcos,Romance,"30.000,00"
2021,"Feitiços [Charmes], de Paul Valéry",Tradução,"30.000,00"
2020,Redemoinho em dia quente,Conto,"30.000,00"
2020,Agudezas seiscentistas e outros ensaios,Ensaio Literário,"30.000,00"
2020,De quem é o comando?: O desafio de governar uma prisão no Brasil,Ensaio Social,"30.000,00"
2020,Lá dentro tem coisa,Literatura Infantil ,"30.000,00"
2020,Um lençol de infinitos fios,Literatura Juvenil,"30.000,00"
2020,179.Resistência,Poesia ,"30.000,00"
2020,Além do Rio dos Sinos,Romance,"30.000,00"
2020,"As flores do mal, de Charles Baudelaire",Tradução,"30.000,00"
2019,Nenhum mistério ,Poesia ,"30.000,00"
2019,Paradeiro,Romance,"30.000,00"
2019,Kafkianas,Conto,"30.000,00"
2019,Maquinação do mundo: Drummond e a mineração,Ensaio Literário,"30.000,00"
2019,Ser republicano no Brasil Colônia: a história de uma traição esquecida ,Ensaio Social,"30.000,00"
2019,Bússola (Mathias Enard),Tradução,"30.000,00"
2019,Clarice,Projeto Gráfico,"30.000,00"
2019,Enreduana ,Literatura Infantil ,"30.000,00"
2019,Minha vida não é cor-de-rosa ,Literatura Juvenil,"30.000,00"
2018,Etiópia,Poesia ,"30.000,00"
2018,Nunca houve tanto fim como agora,Romance,"30.000,00"
2018,Alguns humanos,Conto,"30.000,00"
2018,A erótica japonesa na pintura & na escritura dos séculos XVII a XIX,Ensaio Literário,"30.000,00"
2018,Lima Barreto: triste visionário,Ensaio Social,"30.000,00"
2018,De minha vida: poesia e verdade” (Johann Wolfgang von Goethe),Tradução,"30.000,00"
2018,O nome do medo,Projeto Gráfico,"30.000,00"
2018,Chão de peixes,Literatura Infantil ,"30.000,00"
2018,Os filhos do deserto combatem na solidão,Literatura Juvenil,"30.000,00"
2017,A idolatria poética ou a febre de imagens,Poesia ,"30.000,00"
2017,Descobri que estava morto,Romance,"30.000,00"
2017,Ferrugem,Conto,"30.000,00"
2017,"Samuel Beckett e seus duplos: espelhos, abismos e outras vertigens literárias",Ensaio Literário,"30.000,00"
2017,Intelectuais mediadores: práticas culturais e ação política,Ensaio Social,"30.000,00"
2017,"Jaqueta Branca ou O mundo em um navio de guerra, de Herman Melville",Tradução,"30.000,00"
2017,"Anri Sala: o momento presente, Heloisa Spada (org.)",Projeto Gráfico,"30.000,00"
2017,Drufs,Literatura Infantil ,"30.000,00"
